""," ","Female"," "," "," "," ","Male"," "," "," "," "
"1","Stress biomarker","n","Mean","SD","Unadjusted difference: Intervention vs. Control (95% CI)","P-value","n","Mean","SD","Unadjusted difference: Intervention vs. Control (95% CI)","P-value"
"2","Arterial pressure","394","65.26","6.44","0.01 (0.72,-1.41)","0.99","359","65.45","6.53","0.01 (0.84,-0.97)","0.43"
"3","Resting heart rate","394","110.15","16.22","0.56 (1.46,-2.3)","0.7","363","107.27","15.42","0.56 (1.58,-6.62)","0.02"
"4","SAA z01","389","70.79","56.17","-0.03 (0.09,-0.2)","0.71","360","80.35","68.76","-0.03 (0.09,-0.19)","0.8"
"5","SAA z02","371","122.57","126.06","-0.02 (0.1,-0.21)","0.87","343","124","97.8","-0.02 (0.11,-0.33)","0.33"
"6","Cortisol z01","391","0.19","0.24","0.16 (0.08,0.01)","0.04","363","0.16","0.13","0.16 (0.08,-0.23)","0.33"
"7","Cortisol z03","363","0.4","0.38","0.31 (0.08,0.14)","0","334","0.37","0.31","0.31 (0.1,-0.04)","0.13"
"8","GCR","388","0.4","0.35","0.01 (0.04,-0.07)","0.77","355","0.36","0.25","0.01 (0.03,-0.08)","0.46"
"9","GCR CPG12","380","0.82","0.94","0.14 (0.07,0.01)","0.04","343","0.85","0.96","0.14 (0.07,-0.15)","0.76"
"10","SAA slope","364","-3.02","6.65","-0.23 (0.71,-1.63)","0.74","338","-2.67","4.87","-0.23 (0.61,-0.39)","0.19"
"11","Cortisol slope","358","-0.01","0.01","0 (0,0)","0.05","333","-0.01","0.01","0 (0,0)","0.08"
"12","SAA residualized gain score","364","3.15","113.43","5.12 (12.1,-18.6)","0.67","339","-3.38","79.94","5.12 (9.21,-26.76)","0.34"
"13","Cortisol residualized gain score","358","0","0.32","0.07 (0.03,0)","0.04","333","0","0.28","0.07 (0.03,0)","0.06"
