"","Outcome","N","Absolute Mean","Mean","SD","Unadjusted difference: Intervention v. Control"," ","Age- and sex-adjusted difference: Intervention v. Control"," ","Fully adjusted difference: Intervention v. Control"," ","IPCW adjusted difference: Intervention v. Control"," "
"1","","","","","","95% CI","P-value","95% CI","P-value","95% CI","P-value","95% CI","P-value"
"2","Pre-stressor Salivary alpha-amylase (U/ml)","","","","","","","","","","","",""
"3","Control","354","74.9","4.01","0.81","","","","","","","",""
"4","Nutrition + WSH","395","75.82","3.98","0.89","-0.03 (-0.19, 0.13)","0.73","-0.03 (-0.21, 0.15)","0.75","-0.02 (-0.17, 0.13)","0.82","-0.01 (-0.15, 0.13)","0.91"
"5","Post-stressor Salivary alpha-amylase (U/ml)","","","","","","","","","","","",""
"6","Control","339","124.06","4.47","0.9","","","","","","","",""
"7","Nutrition + WSH","375","122.53","4.41","0.99","-0.06 (-0.26, 0.13)","0.53","-0.04 (-0.23, 0.16)","0.71","-0.01 (-0.2, 0.18)","0.93","-0.02 (-0.08, 0.04)","0.47"
"8","Change in slope between pre- and post-stressor alpha-amylase","","","","","","","","","","","",""
"9","Control","335","-2.99","-2.99","6.43","","","","","","","",""
"10","Nutrition + WSH","367","-2.73","-2.73","5.29","0.22 (-0.64, 1.07)","0.62","-0.05 (-0.98, 0.89)","0.92","-0.09 (-0.91, 0.72)","0.82","-0.3 (-1.26, 0.66)","0.54"
"11","Residualized gain score for alpha-amylase","","","","","","","","","","","",""
"12","Control","335","0.77","0.77","108.21","","","","","","","",""
"13","Nutrition + WSH","368","-0.7","-0.7","89.31","-1.17 (-15.16, 12.82)","0.87","3.22 (-12.28, 18.72)","0.68","4.97 (-8.79, 18.72)","0.48","8.96 (-6.53, 24.46)","0.26"
"14","Pre-stressor salivary cortisol (ug/dl)","","","","","","","","","","","",""
"15","Control","357","0.17","-2.08","0.69","","","","","","","",""
"16","Nutrition + WSH","397","0.18","-2.03","0.73","0.05 (-0.08, 0.18)","0.47","0.04 (-0.09, 0.18)","0.54","0.04 (-0.09, 0.16)","0.54","0.04 (0, 0.08)","0.05"
"17","Post-stressor salivary cortisol (ug/dl)","","","","","","","","","","","",""
"18","Control","312","0.34","-1.49","0.96","","","","","","","",""
"19","Nutrition + WSH","385","0.42","-1.26","0.95","0.24 (0.07, 0.4)","0.01","0.15 (-0.02, 0.33)","0.08","0.21 (0.06, 0.36)","0.01","0.21 (0.07, 0.34)","0"
"20","Change in slope between pre- and post-stressor cortisol","","","","","","","","","","","",""
"21","Control","311","-0.01","-0.01","0.01","","","","","","","",""
"22","Nutrition + WSH","380","-0.01","-0.01","0.01","-0.002 (-0.003, 0)","0.04","-0.001 (-0.003, 0.001)","0.35","-0.002 (-0.003, 0)","0.03","-0.003 (-0.004, -0.001)","0"
"23","Residualized gain score for cortisol","","","","","","","","","","","",""
"24","Control","311","-0.03","-0.03","0.27","","","","","","","",""
"25","Nutrition + WSH","380","0.03","0.03","0.32","0.06 (0.01, 0.12)","0.02","0.03 (-0.02, 0.09)","0.22","0.06 (0.01, 0.11)","0.02","0.07 (0.01, 0.12)","0.01"
"26","Mean arterial pressure (mmHg)","","","","","","","","","","","",""
"27","Control","353","65.18","65.18","6.14","","","","","","","",""
"28","Nutrition + WSH","400","65.5","65.5","6.77","0.32 (-1.01, 1.65)","0.64","0.39 (-1.24, 2.02)","0.64","0.3 (-0.83, 1.43)","0.61","0.46 (0.05, 0.86)","0.03"
"29","Resting heart rate (bpm)","","","","","","","","","","","",""
"30","Control","358","109.49","109.49","14.43","","","","","","","",""
"31","Nutrition + WSH","399","108.12","108.12","17.1","-1.37 (-4.08, 1.33)","0.32","-1 (-4.07, 2.07)","0.52","-1.65 (-4.26, 0.96)","0.21","-1.36 (-2.29, -0.42)","0"
"32","NR3C1 exon 1F promoter methylation","","","","","","","","","","","",""
"33","Control","346","0.39","0.39","0.32","","","","","","","",""
"34","Nutrition + WSH","397","0.38","0.38","0.3","-0.003 (-0.062, 0.056)","0.92","-0.01 (-0.09, 0.06)","0.72","-0.01 (-0.06, 0.04)","0.72","-0.03 (-0.05, -0.01)","0.01"
"35","NGFI-A transcription factor binding site","","","","","","","","","","","",""
"36","Control","336","0.9","-3.39","0.25","","","","","","","",""
"37","Nutrition + WSH","387","0.77","-3.43","0.26","-0.04 (-0.08, 0)","0.04","-0.03 (-0.08, 0.02)","0.26","-0.04 (-0.08, 0)","0.04","-0.05 (-0.09, -0.01)","0.02"
